,Name,Description,Calories,Fat,Protein,Carbs,Fiber,Sodium
74,ginger,"Ginger root, raw",80.0,0.75,1.82,17.8,2.0,13.0
75,okra,"Okra, raw",33.0,0.19,1.93,7.45,3.2,7.0
76,lettuce,"Lettuce, cos or romaine, raw",72.0,0.3,1.23,3.29,2.1,8.0
77,pumpkin,"Pumpkin, raw",26.0,0.1,1.0,6.5,0.5,1.0
78,cucumber,"Cucumber, peeled, raw",10.0,0.16,0.59,2.16,0.7,2.0
79,white radish,"Radishes, white icicle, raw",14.0,0.1,1.1,2.63,1.4,16.0
80,carrot,"Carrot, dehydrated",341,1.49,8.1,79.6,23.6,275
81,asparagus,"Asparagus, raw",85.0,0.12,2.2,3.88,2.1,2.0
82,bamboo shoots,"Bamboo shoots, raw",115,0.3,2.6,5.2,2.2,4.0
83,broccoli,"Broccoli, raw",34.0,0.37,2.82,6.64,2.6,33.0
84,celery stick,"Celery, raw",14.0,0.17,0.69,2.97,1.6,80.0
85,cilantro mint,"Coriander (cilantro) leaves, raw",23.0,0.52,2.13,3.67,2.8,46.0
86,snow peas,"Peas, green, raw",81.0,0.4,5.42,14.4,5.7,5.0
87,cabbage,"Cabbage, kimchi",65.0,0.5,1.1,2.4,1.6,498
88,bean sprouts,"Beans, kidney, mature seeds, sprouted, raw",29.0,0.5,4.2,4.1,,6.0
89,onion,"Onions, raw",166,0.1,1.1,9.34,1.7,4.0
90,pepper,"Pepper, banana, raw",113,0.45,1.66,5.35,3.4,13.0
91,green beans,"Beans, snap, green, microwaved",33.0,0.5,2.31,6.41,3.4,3.0
92,French beans,"Beans, french, mature seeds, raw",343,2.02,18.8,64.1,25.2,18.0
93,king oyster mushroom,"Mushrooms, oyster, raw",139,0.41,3.31,6.09,2.3,18.0
94,shiitake,"Mushrooms, shiitake, dried",296,0.99,9.58,75.4,11.5,13.0
95,enoki mushroom,"Mushrooms, enoki, raw",153,0.29,2.66,7.81,2.7,3.0
96,oyster mushroom,"Mushrooms, oyster, raw",139,0.41,3.31,6.09,2.3,18.0
97,white button mushroom,"Mushrooms, white, microwaved",147,0.46,3.91,6.04,2.5,17.0
98,salad,"Lettuce, green leaf, raw",62.0,0.15,1.36,2.87,1.3,28.0
99,other ingredients,"Frozen yogurts, flavors other than chocolate",531,3.6,3.0,21.6,0.0,63.0
